date,open,high,low,close,volume,marketcap,google_trends,wiki_page_views,twitter_followers_growth,gold_pm,silver,platinum_pm,palladium_pm,oil_price,usd_eur,usd_jpy,usd_gbp,usd_cny,SP500,Dow_Jones,Nasdaq,Russell,FTSE,Nikkei,SSE,VIX,NVIDIA,Google,hash_rate,miners_revenue,avg_block_size,difficulty,est_transc_volume,num_unique_address,BECI
30/6/18,6214.22,6465.51,6214.22,6404,4543860224,1.06E+11,7,14229,292,1250.45,16.03,851,953,74.13,1.165799975,0.009146621,1.359200001,0.157810852,2718.370117,24271.41016,7510.299805,1643.069946,7636.899902,22304.50977,2847.417969,16.09000015,236.8999939,1115.650024,38112980.76,11236721.63,0.746513298,5.08E+12,110240.3139,453050,71.12432132
29/6/18,5898.13,6261.66,5835.75,6218.3,3966230016,1.01E+11,8,14125,311,1250.45,16.03,851,953,74.13,1.165799975,0.009146621,1.359200001,0.157810852,2718.370117,24271.41016,7510.299805,1643.069946,7636.899902,22304.50977,2847.417969,16.09000015,236.8999939,1115.650024,39627403.83,12052693.75,0.689429567,5.08E+12,114621.099,396405,71.12432132
28/6/18,6153.16,6170.41,5873.05,5903.44,3467800064,1.05E+11,6,18577,582,1251.55,16.11,852,945,73.45,1.158300042,0.009146621,1.359200001,0.157810852,2716.310059,24216.05078,7503.680176,1645.02002,7615.600098,22270.39063,2786.896973,16.85000038,240.8600006,1114.219971,30540865.37,9288788.415,1.088043074,5.08E+12,129636.3392,397865,71.12432132
27/6/18,6084.4,6180,6052.85,6157.13,3296219904,1.04E+11,6,17169,518,1254.6,16.21,860,946,77.41,1.161599874,0.009146621,1.359200001,0.157810852,2699.629883,24117.58984,7445.080078,1640.449951,7621.700195,22271.76953,2813.177979,17.90999985,235.7200012,1103.97998,36850961.53,11395190.5,1.067591651,5.08E+12,97662.61819,410397,71.12432132
26/6/18,6253.55,6290.16,6093.67,6093.67,3279759872,1.07E+11,6,17085,559,1260.3,16.225,864,939,75.23,1.167199969,0.009146621,1.359200001,0.157810852,2723.060059,24283.10938,7561.629883,1668.530029,7537.899902,22342,2844.508057,15.92000008,241.9900055,1118.459961,39627403.83,12092548.55,0.920947834,5.08E+12,109699.7935,415602,71.12432132
25/6/18,6171.97,6327.37,6119.68,6249.18,5500810240,1.06E+11,7,17001,432,1268.7,16.375,868,949,69.91,1.169999957,0.009146621,1.359200001,0.157810852,2717.070068,24252.80078,7532.009766,1657.51001,7509.799805,22338.15039,2859.335938,17.32999992,239.1199951,1124.810059,43161057.68,13225424.94,0.484736936,5.08E+12,94335.89369,350051,71.12432132
24/6/18,6164.28,6223.78,5826.41,6173.23,4566909952,1.05E+11,7,17123,490,1269.15,16.425,867,956,69.02,1.164799929,0.009146621,1.359200001,0.157810852,2754.879883,24580.89063,7692.819824,1685.579956,7682.299805,22516.83008,2889.76001,13.77000046,250.9499969,1155.47998,40384615.37,12098140,0.534422669,5.08E+12,70756.81395,368136,71.12432132
23/6/18,6090.1,6224.82,6071.81,6162.48,3431360000,1.04E+11,6,10869,453,1269.15,16.425,867,956,69.02,1.164799929,0.009146621,1.359200001,0.157810852,2754.879883,24580.89063,7692.819824,1685.579956,7682.299805,22516.83008,2889.76001,13.77000046,250.9499969,1155.47998,38112980.76,12793132.95,0.795271689,5.08E+12,139066.2774,469522,71.12432132
22/6/18,6737.88,6747.08,6006.6,6083.69,5079810048,1.15E+11,7,12597,504,1269.15,16.425,867,956,69.02,1.164799929,0.009146621,1.359200001,0.157810852,2754.879883,24580.89063,7692.819824,1685.579956,7682.299805,22516.83008,2889.76001,13.77000046,250.9499969,1155.47998,42908653.83,14388442.37,0.616743429,5.08E+12,106868.4959,421061,71.12432132
21/6/18,6780.09,6810.94,6715.17,6729.74,3529129984,1.16E+11,6,14834,374,1266.15,16.245,866,962,65.68,1.153800011,0.009146621,1.359200001,0.157810852,2749.76001,24461.69922,7712.950195,1688.949951,7556.399902,22693.03906,2875.810059,14.64000034,257.1099854,1157.660034,39122596.14,13820511.8,1.078000258,5.08E+12,94157.57733,425848,71.12432132
