Date,hash_rate,avg_block_size,difficulty,num_unique_addr,miners_revenue,est_TXN_vol,num_of_TXN,TXN_per_block,cost_per_TXN,total_TXN_fees,usd_trade_vol
2018-07-01,35588942.2956,0.98734012766,5077499034880.0,368307.0,10494418.5,493208885.085,181065.0,1284.14893617,58.7356137641,140545.406198,489427084.119
2018-07-02,37103365.372,0.705291442177,5077499034880.0,341861.0,11673361.875,991949405.091,156247.0,1062.9047619,75.3937328953,106682.708695,224327884.551
2018-07-03,37594816.2563,0.987550148936,5172892177080.0,433257.0,11271293.25,720058629.123,199294.0,1413.43262411,57.3095694633,150160.08661,281178824.109
2018-07-04,30929068.6931,1.11381700862,5363678461480.0,456149.0,9617154.0,872392592.008,216747.0,1868.50862069,45.2242408773,185064.53743,356469308.568
2018-07-05,35728406.9386,0.935352985075,5363678461480.0,435401.0,11089706.0,665699858.481,206788.0,1543.19402985,54.3181726943,142640.2951,345023639.282
2018-07-06,36528296.6462,0.783748218978,5363678461480.0,413997.0,11467704.875,667645282.594,199600.0,1456.93430657,58.1165698185,132362.460775,359185743.354
2018-07-07,42660784.4043,0.68545858125,5363678461480.0,529417.0,13022240.0,799979138.346,200993.0,1256.20625,65.4925776702,141309.663666,309943305.899
2018-07-08,41594264.7942,0.537210057692,5363678461480.0,357620.0,12914635.5,363054383.013,170160.0,1090.76923077,76.5419297048,109739.258576,216238561.658
2018-07-09,42127524.5992,0.592209537975,5363678461480.0,350856.0,13062255.0,556194054.932,155685.0,985.348101266,84.566442321,103471.572751,285993884.485
2018-07-10,36261666.7437,1.06041535294,5363678461480.0,425384.0,11427128.0,641995550.747,206546.0,1518.72058824,55.9733319579,133939.822574,220403963.385
2018-07-11,39727855.4765,0.971490577181,5363678461480.0,445233.0,12485753.0,852280394.717,216063.0,1450.08724832,58.4968538813,153252.740152,385405419.243
2018-07-12,35995036.8411,1.00659225926,5363678461480.0,413228.0,10811120.625,703800649.597,202603.0,1500.76296296,54.0075287371,130966.719727,361861965.471
2018-07-13,37594816.2563,1.17915948227,5363678461480.0,405287.0,11268737.625,684429563.545,203535.0,1443.5106383,55.9504317092,119133.492941,313761610.214
2018-07-14,38128076.0613,1.11353270629,5363678461480.0,473174.0,11015182.75,645414306.832,207904.0,1453.87412587,53.5610903785,120382.184056,304859782.217
2018-07-15,35461777.0361,1.15948982707,5363678461480.0,362895.0,10322279.625,338915362.502,176475.0,1326.87969925,59.0196428007,93211.8382549,243555155.304
2018-07-16,35461777.0361,0.773946090226,5363678461480.0,346482.0,10424456.875,351656240.412,161151.0,1211.66165414,65.2819817451,95799.765207,178134461.98
2018-07-17,31995588.3032,0.928807491667,5363678461480.0,431582.0,9550007.43,727979315.613,207842.0,1732.01666667,46.6406240644,150235.586798,301675832.614
2018-07-18,40931868.4915,0.909335534591,5199615302170.0,487159.0,13252292.25,793711434.557,233966.0,1471.48427673,57.3527848531,166309.410951,499528836.874
2018-07-19,44793365.519,1.04647424713,5178671069070.0,494822.0,16010523.0,1061451896.23,238769.0,1372.23563218,68.0356508538,234281.318714,805118967.887
2018-07-20,44021066.1135,0.73462880117,5178671069070.0,465956.0,15668190.72,984877922.775,225039.0,1316.01754386,70.5303277555,211210.427775,559342105.92
2018-07-21,39644702.8157,0.815292727273,5178671069070.0,496859.0,14443929.5,821696098.591,225529.0,1464.47402597,64.8127961283,173235.59802,490150501.943
2018-07-22,35268339.5178,0.715741226277,5178671069070.0,385949.0,12556546.625,525631984.81,184803.0,1348.9270073,68.6350793061,127421.936014,425993493.863
2018-07-23,46852830.6003,0.451292708791,5178671069070.0,366445.0,16874334.75,388795190.97,167129.0,918.291208791,101.621533801,109570.57266,233536540.36
2018-07-24,42733900.4377,0.890057921687,5178671069070.0,473605.0,15381186.5,899750255.388,229480.0,1382.40963855,67.8700082086,193622.983717,547531100.766
2018-07-25,40931868.4915,0.917435553459,5178671069070.0,532883.0,15319928.25,1102640515.77,259358.0,1631.18238994,59.9496458981,228492.010848,823187997.829
2018-07-26,45565664.9245,0.965074491525,5178671069070.0,525951.0,18661751.625,1029444503.32,250208.0,1413.60451977,75.4892138216,226253.586882,864732263.062
2018-07-27,42476467.3025,0.771370909091,5178671069070.0,479849.0,16911592.5,830061488.122,231679.0,1404.11515152,73.8409603558,195807.354264,506038858.738
