date,btc,eth,xrp,xlm,ltc,usdt,xmr,etc,dash,neo,nem,zec,lsk,dcr,bts,doge
2018-06-30,6404.0,455.18,0.46624499999999997,0.193425,81.37,0.999192,131.01,16.1,238.36,30.64,0.16426500000000002,163.99,5.35,67.19,0.140225,0.002499
2018-06-29,6218.3,436.01,0.45308000000000004,0.18671,78.77,1.0,126.78,15.27,234.24,29.64,0.15173699999999998,163.28,5.04,69.78,0.13488699999999998,0.002427
2018-06-28,5903.44,422.36,0.44845799999999997,0.178951,74.93,0.997193,115.81,14.54,219.82,28.36,0.14560499999999998,154.1,4.92,60.4,0.12581900000000001,0.002357
2018-06-27,6157.13,442.36,0.47036999999999995,0.189633,80.66,0.997935,128.71,15.38,229.2,30.32,0.152838,166.13,5.28,69.68,0.134232,0.002437
2018-06-26,6093.67,432.77,0.45600100000000005,0.18648399999999998,76.87,1.0,120.82,14.88,230.96,30.31,0.151543,163.2,5.27,71.52,0.132438,0.002478
2018-06-25,6249.18,460.31,0.481753,0.19775299999999998,81.83,1.0,126.76,15.84,241.2,31.71,0.15821400000000002,176.02,5.57,74.94,0.13918699999999998,0.0024850000000000002
2018-06-24,6173.23,457.67,0.47738,0.193633,80.78,1.01,121.29,14.88,238.04,31.27,0.152326,167.51,5.47,73.79,0.135045,0.00251
2018-06-23,6162.48,474.52,0.491284,0.203515,82.6,1.0,115.38,14.81,243.01,34.27,0.16456700000000002,171.02,5.63,72.86,0.137262,0.002641
2018-06-22,6083.69,465.82,0.486947,0.203407,85.08,1.0,110.6,14.62,236.48,33.26,0.164705,168.79,5.35,77.6,0.139444,0.002668
2018-06-21,6729.74,527.37,0.534775,0.22799699999999998,96.93,1.0,123.61,17.58,260.83,37.84,0.188716,192.73,6.25,90.39,0.160828,0.0029879999999999998
2018-06-20,6776.55,536.27,0.5392859999999999,0.232188,97.99,0.9988290000000001,122.55,17.27,265.3,38.93,0.194919,193.68,6.36,91.49,0.162103,0.0030210000000000002
2018-06-19,6769.94,537.96,0.549621,0.23530900000000002,98.84,1.0,126.22,15.56,261.52,39.94,0.19828900000000002,198.23,6.49,92.97,0.162187,0.0030329999999999997
2018-06-18,6734.82,518.89,0.537495,0.234371,98.82,1.0,127.43,15.09,265.46,39.7,0.197408,198.54,6.45,93.74,0.164078,0.0030269999999999997
2018-06-17,6499.27,500.45,0.528216,0.232105,96.1,1.01,124.06,14.33,265.77,38.76,0.194889,191.45,6.31,91.33,0.160154,0.002873
2018-06-16,6550.16,499.64,0.534784,0.234041,97.58,1.0,126.83,14.51,266.17,38.2,0.195501,193.44,6.59,90.25,0.16176600000000002,0.002895
2018-06-15,6456.58,491.0,0.5377069999999999,0.234242,96.68,1.01,122.78,13.9,258.06,38.26,0.19437000000000001,194.6,6.53,91.04,0.156904,0.0029010000000000004
2018-06-14,6675.35,519.74,0.5613060000000001,0.24242600000000003,101.15,1.0,132.94,14.06,268.32,40.85,0.20421,199.57,6.96,99.24,0.16583,0.002944
2018-06-13,6349.9,477.49,0.534663,0.221691,94.08,1.0,121.85,13.88,245.96,38.15,0.189397,185.28,6.35,86.4,0.156063,0.002817
2018-06-12,6582.36,496.84,0.562933,0.23168899999999998,100.75,1.0,125.66,14.85,261.12,41.49,0.206804,195.76,6.75,86.65,0.154392,0.003089
2018-06-11,6906.92,533.28,0.604066,0.25648200000000004,107.52,1.0,138.04,12.92,271.81,45.6,0.22290500000000002,206.48,7.26,95.46,0.177522,0.0032340000000000003
2018-06-10,6786.02,526.48,0.588126,0.247658,107.04,0.998215,139.51,12.64,274.04,45.71,0.216827,203.68,7.11,93.22,0.171785,0.003182
2018-06-09,7531.98,597.56,0.659755,0.281894,117.74,1.01,154.96,15.16,299.0,51.09,0.24613800000000002,232.67,8.28,103.6,0.20821199999999998,0.003593
2018-06-08,7624.92,601.08,0.674343,0.287963,120.08,1.0,158.7,15.41,310.7,52.59,0.25274,239.37,8.57,108.76,0.21334299999999998,0.0036590000000000004
